"url","slug"
"https://bida.app.link/Z8BlAEJYU","bida"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d9744828-Reviews-La_Mezcla-Barcelona_Catalonia.html","mezcla"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d4155257-Reviews-La_Tasqueta_De_Blai-Barcelona_Catalonia.html","tasqueta-blai"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d2569361-Reviews-Blai_Tonight-Barcelona_Catalonia.html","blai-tonight"
"https://www.tripadvisor.it/Restaurant_Review-g187497-d3210559-Reviews-La_Tasca_del_Corral-Barcelona_Catalonia.html","tasca-corral"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d2709722-Reviews-N_A_P_Neapolitan_Authentic_Pizza-Barcelona_Catalonia.html","nap"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d940427-Reviews-Can_Paixano_La_Xampanyeria-Barcelona_Catalonia.html","xampanyeria"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d800338-Reviews-Rosa_Negra-Barcelona_Catalonia.html","rosa-negra"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d3643048-Reviews-Bun_Bo_Raval-Barcelona_Catalonia.html","bun-bo-raval"
"https://www.tripadvisor.es/Restaurant_Review-g187497-d1752833-Reviews-Bun_Bo_Vietnam-Barcelona_Catalonia.html","bun-bo-vietnam"
"http://www.airbnb.it/c/dghidoli","airbnb"
"https://www.tripadvisor.com/Restaurant_Review-g580322-d2363513-Reviews-Pincha_Cabra_Tapas_Bar-Corralejo_La_Oliva_Fuerteventura_Canary_Islands.html","pincha-cabra"
"https://www.tripadvisor.com/Restaurant_Review-g580322-d7991402-Reviews-Casa_Domingo-Corralejo_La_Oliva_Fuerteventura_Canary_Islands.html","casa-domingo"
"https://www.tripadvisor.com/Restaurant_Review-g580322-d1635079-Reviews-Agua_Tiki_Bar-Corralejo_La_Oliva_Fuerteventura_Canary_Islands.html","agua"
"https://www.tripadvisor.com/Restaurant_Review-g580322-d6700705-Reviews-LaFreddy_Loungebar-Corralejo_La_Oliva_Fuerteventura_Canary_Islands.html","lafreddy"
"https://hubfuerteventura.co/","hub-fuerteventura"
"https://www.tripadvisor.com/Hotel_Review-g580322-d237064-Reviews-ClubHotel_Riu_Oliva_Beach_Resort-Corralejo_La_Oliva_Fuerteventura_Canary_Islands.html","riu"
"https://www.tripadvisor.com/Restaurant_Review-g1047914-d2456403-Reviews-El_Roque_de_los_Pescadores-El_Cotillo_La_Oliva_Fuerteventura_Canary_Islands.html","el-roque"
"https://www.tripadvisor.com/Attraction_Review-g1237071-d4464175-Reviews-Granja_Tara-La_Oliva_Fuerteventura_Canary_Islands.html","granja-tara"
"https://wifitribe.co/","wifitribe"
"https://www.roam.co/","roam"
"https://remoteyear.com/","remote-year"
"https://outsite.co/","outsite"
"https://wifitribe.co/how-it-works/","wifitribe-price"
"https://wifitribe.co/next-locations/","wifitribe-locations"
"https://www.tripadvisor.com/Attraction_Review-g294308-d12697575-Reviews-Mercado_Central-Quito_Pichincha_Province.html","mercado-central"
"https://www.tripadvisor.com/Restaurant_Review-g294308-d1086842-Reviews-Cafe_Mosaico-Quito_Pichincha_Province.html","cafe-mosaico"
